flowname,max_e2e,route,deadline
Stream_1,108.784,"[ES_1, Switch_1, Switch_2, Switch_3, Switch_4, Switch_5, Switch_6, ES_12]",17410.0
Stream_2,812.256,"[ES_2, Switch_1, Switch_2, Switch_3, Switch_4, Switch_5, Switch_6, Switch_7, Switch_8, Switch_9, Switch_10, Switch_11, Switch_12, Switch_13, Switch_14, ES_27]",19028.0
Stream_3,199.976,"[ES_3, Switch_2, Switch_3, Switch_4, Switch_5, ES_10]",18485.0
Stream_4,23.48,"[ES_4, Switch_2, ES_3]",9101.0
Stream_5,223.472,"[ES_5, Switch_3, Switch_4, Switch_5, Switch_6, ES_12]",19260.0
Stream_6,301.512,"[ES_6, Switch_3, Switch_4, Switch_5, Switch_6, Switch_7, Switch_8, Switch_9, ES_18]",13434.0
Stream_7,41.824,"[ES_7, Switch_4, Switch_5, ES_9]",7069.0
Stream_8,67.216,"[ES_8, Switch_4, Switch_3, ES_6]",13771.0
Stream_9,206.776,"[ES_9, Switch_5, Switch_4, Switch_3, Switch_2, ES_4]",4218.0
Stream_10,104.096,"[ES_10, Switch_5, Switch_6, Switch_7, Switch_8, ES_15]",2735.0
Stream_11,169.664,"[ES_11, Switch_6, Switch_5, Switch_4, Switch_3, ES_6]",19112.0
Stream_12,127.728,"[ES_12, Switch_6, Switch_5, Switch_4, Switch_3, Switch_2, ES_4]",4829.0
Stream_13,248.432,"[ES_13, Switch_7, Switch_8, Switch_9, Switch_10, Switch_11, Switch_12, Switch_13, ES_25]",9911.0
Stream_14,33.36,"[ES_14, Switch_7, ES_13]",15612.0
Stream_15,116.36,"[ES_15, Switch_8, Switch_9, Switch_10, ES_19]",10831.0
Stream_16,396.248,"[ES_16, Switch_8, Switch_9, Switch_10, Switch_11, Switch_12, Switch_13, ES_26]",10326.0
Stream_17,93.408,"[ES_17, Switch_9, Switch_8, Switch_7, Switch_6, Switch_5, ES_10]",9463.0
Stream_18,256.984,"[ES_18, Switch_9, Switch_10, Switch_11, Switch_12, Switch_13, Switch_14, ES_28]",13010.0
Stream_19,328.728,"[ES_19, Switch_10, Switch_9, Switch_8, Switch_7, Switch_6, Switch_5, Switch_4, Switch_3, Switch_2, Switch_1, ES_1]",6451.0
Stream_20,41.768,"[ES_20, Switch_10, Switch_9, ES_17]",18802.0
Stream_21,308.4,"[ES_21, Switch_11, Switch_10, Switch_9, Switch_8, Switch_7, Switch_6, ES_11]",10385.0
Stream_22,133.736,"[ES_22, Switch_11, Switch_12, Switch_13, Switch_14, ES_28]",8216.0
Stream_23,65.408,"[ES_23, Switch_12, Switch_11, Switch_10, ES_20]",15365.0
Stream_24,506.464,"[ES_24, Switch_12, Switch_11, Switch_10, Switch_9, Switch_8, Switch_7, Switch_6, Switch_5, ES_9]",13371.0
Stream_25,248.232,"[ES_25, Switch_13, Switch_12, Switch_11, Switch_10, Switch_9, Switch_8, Switch_7, ES_14]",7809.0
Stream_26,473.648,"[ES_26, Switch_13, Switch_12, Switch_11, Switch_10, Switch_9, Switch_8, Switch_7, ES_13]",15248.0
Stream_27,125.216,"[ES_27, Switch_14, Switch_13, Switch_12, Switch_11, Switch_10, Switch_9, Switch_8, ES_16]",8476.0
Stream_28,677.64,"[ES_28, Switch_14, Switch_13, Switch_12, Switch_11, Switch_10, Switch_9, Switch_8, Switch_7, Switch_6, Switch_5, Switch_4, Switch_3, Switch_2, Switch_1, ES_2]",19871.0
Stream_29,75.112,"[ES_29, Switch_15, Switch_14, Switch_13, Switch_12, ES_23]",12423.0
Stream_30,151.544,"[ES_30, Switch_15, Switch_14, Switch_13, Switch_12, ES_23]",7337.0

Mean E2E: 222.24906666666666
Runtime in Seconds: 0.00220508300117217
