flowname,max_e2e,route,deadline
Stream_1,63.744,"[ES_1, Switch_1, Switch_5, Switch_9, ES_17]",4405.0
Stream_2,101.624,"[ES_2, Switch_1, Switch_5, Switch_9, Switch_13, ES_26]",10723.0
Stream_3,70.256,"[ES_3, Switch_2, Switch_6, ES_11]",2280.0
Stream_4,125.096,"[ES_4, Switch_2, Switch_6, Switch_10, Switch_14, Switch_15, ES_29]",6580.0
Stream_5,45.184,"[ES_5, Switch_3, Switch_4, ES_8]",3286.0
Stream_6,70.288,"[ES_6, Switch_3, Switch_7, Switch_11, Switch_15, ES_30]",9258.0
Stream_7,79.56,"[ES_7, Switch_4, Switch_3, Switch_2, Switch_1, Switch_5, ES_9]",11328.0
Stream_8,109.568,"[ES_8, Switch_4, Switch_3, Switch_2, Switch_6, ES_12]",16160.0
Stream_9,74.392,"[ES_9, Switch_5, Switch_1, Switch_2, ES_3]",17408.0
Stream_10,102.888,"[ES_10, Switch_5, Switch_9, Switch_13, Switch_14, ES_27]",19112.0
Stream_11,70.256,"[ES_11, Switch_6, Switch_2, ES_3]",4847.0
Stream_12,116.904,"[ES_12, Switch_6, Switch_10, Switch_14, Switch_15, ES_29]",4978.0
Stream_13,39.864,"[ES_13, Switch_7, Switch_8, ES_16]",13997.0
Stream_14,60.328,"[ES_14, Switch_7, Switch_6, Switch_10, ES_19]",11449.0
Stream_15,82.16,"[ES_15, Switch_8, Switch_4, Switch_3, Switch_2, ES_3]",7119.0
Stream_16,39.864,"[ES_16, Switch_8, Switch_7, ES_13]",10739.0
Stream_17,35.72,"[ES_17, Switch_9, Switch_10, ES_19]",12642.0
Stream_18,59.472,"[ES_18, Switch_9, Switch_10, Switch_11, ES_21]",14292.0
Stream_19,58.744,"[ES_19, Switch_10, Switch_9, ES_17]",4934.0
Stream_20,70.36,"[ES_20, Switch_10, Switch_6, Switch_5, ES_10]",16305.0
Stream_21,50.768,"[ES_21, Switch_11, Switch_10, Switch_14, ES_27]",9362.0
Stream_22,33.392,"[ES_22, Switch_11, Switch_12, ES_24]",16942.0
Stream_23,94.688,"[ES_23, Switch_12, Switch_11, Switch_10, Switch_9, Switch_13, ES_26]",19618.0
Stream_24,24.8,"[ES_24, Switch_12, ES_23]",3118.0
Stream_25,52.568,"[ES_25, Switch_13, Switch_9, Switch_10, ES_20]",16599.0
Stream_26,72.184,"[ES_26, Switch_13, Switch_14, Switch_15, ES_30]",2955.0
Stream_27,90.104,"[ES_27, Switch_14, Switch_10, Switch_6, Switch_2, ES_4]",15407.0
Stream_28,33.56,"[ES_28, Switch_14, ES_27]",14193.0
Stream_29,121.344,"[ES_29, Switch_15, Switch_11, Switch_7, Switch_3, Switch_2, Switch_1, ES_2]",10061.0
Stream_30,64.4,"[ES_30, Switch_15, Switch_14, ES_27]",4348.0

Mean E2E: 70.46933333333334
Runtime in Seconds: 0.00139854199369438
