flowname,max_e2e,route,deadline
Stream_1,28.088,"[ES_1, Switch_1, Switch_13, ES_26]",13079.0
Stream_2,43.896,"[ES_2, Switch_1, Switch_2, Switch_15, ES_29]",3332.0
Stream_3,52.368,"[ES_3, Switch_2, Switch_8, Switch_7, ES_13]",10144.0
Stream_4,33.984,"[ES_4, Switch_2, Switch_1, ES_2]",2099.0
Stream_5,41.224,"[ES_5, Switch_3, Switch_11, ES_21]",12137.0
Stream_6,35.768,"[ES_6, Switch_3, Switch_10, ES_20]",17673.0
Stream_7,53.136,"[ES_7, Switch_4, Switch_15, ES_30]",8427.0
Stream_8,44.448,"[ES_8, Switch_4, Switch_6, Switch_9, ES_18]",14245.0
Stream_9,25.344,"[ES_9, Switch_5, Switch_8, ES_15]",13527.0
Stream_10,40.736,"[ES_10, Switch_5, Switch_1, Switch_9, ES_18]",14631.0
Stream_11,38.2,"[ES_11, Switch_6, Switch_2, ES_4]",9129.0
Stream_12,28.4,"[ES_12, Switch_6, Switch_11, ES_22]",6077.0
Stream_13,32.704,"[ES_13, Switch_7, Switch_11, Switch_13, ES_25]",8636.0
Stream_14,32.424,"[ES_14, Switch_7, Switch_3, ES_5]",8097.0
Stream_15,34.328,"[ES_15, Switch_8, Switch_10, ES_19]",14789.0
Stream_16,39.896,"[ES_16, Switch_8, Switch_2, ES_3]",18702.0
Stream_17,50.064,"[ES_17, Switch_9, Switch_6, Switch_11, ES_21]",14532.0
Stream_18,50.704,"[ES_18, Switch_9, Switch_1, Switch_10, ES_20]",9931.0
Stream_19,40.448,"[ES_19, Switch_10, Switch_15, ES_30]",15049.0
Stream_20,30.744,"[ES_20, Switch_10, Switch_6, ES_11]",16810.0
Stream_21,49.784,"[ES_21, Switch_11, Switch_6, ES_11]",15076.0
Stream_22,37.6,"[ES_22, Switch_11, Switch_15, ES_30]",4813.0
Stream_23,46.536,"[ES_23, Switch_12, Switch_4, Switch_7, ES_14]",7283.0
Stream_24,40.392,"[ES_24, Switch_12, Switch_4, ES_8]",12472.0
Stream_25,38.496,"[ES_25, Switch_13, Switch_12, ES_23]",19780.0
Stream_26,56.864,"[ES_26, Switch_13, Switch_1, Switch_2, ES_4]",10374.0
Stream_27,19.688,"[ES_27, Switch_14, Switch_3, ES_6]",17608.0
Stream_28,35.992,"[ES_28, Switch_14, Switch_1, Switch_8, ES_15]",4175.0
Stream_29,71.352,"[ES_29, Switch_15, Switch_4, Switch_12, ES_23]",1956.0
Stream_30,52.712,"[ES_30, Switch_15, Switch_4, ES_8]",2605.0

Mean E2E: 40.87733333333333
Runtime in Seconds: 0.0016735829995013773
