flowname,max_e2e,route,deadline
Stream_1,64.288,"[ES_1, Switch_1, Switch_2, Switch_3, ES_3]",11190.0
Stream_2,73.752,"[ES_2, Switch_2, Switch_1, Switch_4, Switch_7, ES_7]",17974.0
Stream_3,58.184,"[ES_3, Switch_3, Switch_2, Switch_1, Switch_4, ES_4]",2720.0
Stream_4,88.68,"[ES_4, Switch_4, Switch_1, Switch_2, Switch_3, ES_3]",12750.0
Stream_5,47.112,"[ES_5, Switch_5, Switch_4, ES_4]",10778.0
Stream_6,51.528,"[ES_6, Switch_6, Switch_5, Switch_4, ES_4]",4508.0
Stream_7,73.752,"[ES_7, Switch_7, Switch_4, Switch_1, Switch_2, ES_2]",6177.0

Mean E2E: 65.328
Runtime in Seconds: 0.0004199169925414026
