flowname,max_e2e,route,deadline
Stream_1,26.552,"[ES_1, Switch_1, Switch_3, ES_3]",9652.0
Stream_2,26.768,"[ES_2, Switch_2, Switch_6, ES_6]",1753.0
Stream_3,29.76,"[ES_3, Switch_3, Switch_6, ES_6]",10504.0
Stream_4,35.528,"[ES_4, Switch_4, Switch_6, ES_6]",2752.0
Stream_5,19.976,"[ES_5, Switch_5, Switch_2, ES_2]",8345.0
Stream_6,39.48,"[ES_6, Switch_6, Switch_1, ES_1]",4524.0
Stream_7,18.68,"[ES_7, Switch_7, Switch_1, ES_1]",19808.0

Mean E2E: 28.106285714285715
Runtime in Seconds: 0.0003307919832877815
