flowname,max_e2e,route,deadline
Stream_1,39.112,"[ES_1, Switch_1, Switch_2, ES_4]",3271.0
Stream_2,60.28,"[ES_1, Switch_1, Switch_3, Switch_4, ES_8]",2497.0
Stream_3,107.336,"[ES_2, Switch_1, Switch_2, ES_4]",9743.0
Stream_4,77.984,"[ES_2, Switch_1, Switch_3, ES_6]",7621.0
Stream_5,65.224,"[ES_3, Switch_2, ES_4]",4610.0
Stream_6,129.04,"[ES_3, Switch_2, Switch_1, Switch_3, ES_6]",3909.0
Stream_7,89.408,"[ES_4, Switch_2, Switch_1, Switch_3, ES_5]",7127.0
Stream_8,107.336,"[ES_4, Switch_2, Switch_1, ES_2]",11560.0
Stream_9,166.616,"[ES_5, Switch_3, Switch_1, Switch_2, ES_4]",7390.0
Stream_10,79.4,"[ES_5, Switch_3, Switch_4, ES_8]",7730.0
Stream_11,82.768,"[ES_6, Switch_3, Switch_1, Switch_2, ES_4]",5903.0
Stream_12,107.616,"[ES_6, Switch_3, Switch_1, Switch_2, ES_4]",7578.0
Stream_13,63.392,"[ES_7, Switch_4, Switch_3, ES_5]",15147.0
Stream_14,46.048,"[ES_7, Switch_4, Switch_3, ES_5]",19064.0
Stream_15,55.576,"[ES_8, Switch_4, Switch_2, ES_3]",13883.0
Stream_16,34.136,"[ES_8, Switch_4, ES_7]",1138.0

Mean E2E: 81.9545
Runtime in Seconds: 0.001244200044311583
